REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2020-03-31,Covington Capital Management,108,2020-03-01,118.8,1.5,5.5,41.967,49.0,3.8,0.6695,2020(Q1),"2,728","2,361",969.4,"1,391",308.4,0,58.91,"3,471",743,250.6,470.9,311.9,159,0,21.54,0,288.6,214.4,9.78,1.46,62.88,0,430.1,141.5,131.7,4.22,5.58,141.5,-141.5,"3,041",0,"3,041",-335.7,-15.59,"3,333",0,58.68,"3,471","3,471","1,391",141.5,-827.9,-31.43,-84.95,14.37,-6.64,53.75,2.32,-117.3,-2.38,0,0,-114.9,0,400,-16.74,0,-496.2,913.2,-0.219,19.43,0,0,0,0,19.43,-15.02,319.4,649.9,969.4,-101.9,-84.95,-16.96,470,213.1,256.9,330.2,116.4,199.7,14.08,-73.23,10.47,10.47,0,2.64,-60.12,-28.7,0,-31.43,14.37,-58.87,-0.027,-0.027,"1,164","1,168"
2020-06-30,Covington Capital Management,247,2020-06-01,98.3,0.6,28.1,50.366,52.6,13.0,0.6561,2020(Q2),"4,389","4,001","1,882","2,119",322.1,0,66.16,"5,098",709.2,221.7,463.1,311.9,151.3,0,24.41,0,320.5,241,10.99,1.06,67.45,0,469.5,149,142.1,0,6.87,153.1,-153.1,"4,629",0,"4,629",-299.7,-4.93,"4,860",0,73.58,"5,098","5,098","2,119",153.1,"-1,729",36,175.2,19.93,-7.08,62.32,40.11,23.91,-16.6,0,0,40.52,0,-747.1,-8.59,0,"-1,474",746,-10.04,"1,479",0,"1,461",0,0,18.17,5.82,913,969.4,"1,882",166.6,175.2,-8.63,714.3,339.3,375,374.8,133.2,228.2,13.37,0.284,5.95,5.95,0,-1.87,4.37,-31.63,0,36,19.93,20.21,0.03,0.029,"1,187","1,228"
2020-09-30,Covington Capital Management,269,2020-09-01,101.3,1.4,35.2,55.313,55.5,8.8,0.684,2020(Q3),"6,613","6,121","3,090","3,031",429,0,63.08,"7,462",848.8,217.4,455.8,311.9,143.9,170.5,5.12,0,370.1,261.6,10.99,0.799,96.78,0,"1,285",915.1,892,0,23.08,152.5,-152.5,"6,177",0,"6,177",-108.6,-0.744,"6,035",0,251.1,"7,462","7,462","3,202",903,"-2,187",191.1,89.36,17.87,19.33,63.81,-125.8,-76.9,-2.07,0,0,-74.82,0,-923.4,-10.05,-0.051,"-1,690",777.1,0,"2,038",0,"1,118",0,0,920.4,3.53,"1,208","1,882","3,090",79.31,89.36,-10.05,767.4,362.3,405.1,354.6,143.4,199.4,11.75,50.56,2.55,3.79,1.24,133.3,186.4,-4.7,0,191.1,17.87,68.43,0.16,0.15,"1,205","1,249"
2020-12-31,Covington Capital Management,298,2020-12-01,87.1,1.4,4.4,79.014,60.2,6.7,0.9132,2020(Q4),"6,878","6,388","2,704","3,684",421.5,0,68.25,"7,763",885.1,211.5,447.5,311.9,135.7,173.5,52.68,0,438.3,168.7,10.05,73.77,107.8,77.98,"1,362",923.9,902.8,0,21.01,154.9,-154.9,"6,401",0,"6,401",15.29,8.77,"6,115",0,261.4,"7,763","7,763","3,858",912.9,"-1,791",123.9,245.4,17.89,-47.6,67.06,12.43,71.71,-8.09,0,0,79.81,0,-661.3,-6.36,0,"-1,940","1,285",0,20.73,0,0,0,0,20.73,8.9,-386.3,"3,090","2,704",239,245.4,-6.36,977.7,473.4,504.4,391.8,168.1,220.1,3.62,112.5,-4.11,3.23,7.34,1.32,109.8,-14.12,0,123.9,17.89,130.4,0.1,0.099,"1,261","1,255"
2021-03-31,Covington Capital Management,291,2021-03-01,114.9,2.6,5.6,157.624,63.8,6.2,1.7404,2021(Q1),"8,483","7,872","2,786","5,087",532.8,0,77.85,"10,825","2,342",215.2,441.6,311.9,129.7,"1,631",54.1,0,495.1,338.9,15.57,25.93,114.7,0,"1,683","1,188","1,063",102.4,22.42,169.5,-169.5,"9,142",0,"9,142","1,282",6.05,"7,761",0,92.91,"10,825","10,825","6,718","1,079","-1,707","1,258",135.7,15.8,101,69.16,"-1,246",-62.25,-39.06,0,0,-23.19,0,"-1,618",-5.19,-206.6,"-2,445","1,038",0,"1,564",0,"1,541",0,0,22.93,0.577,81.97,"2,704","2,786",130.5,135.7,-5.19,988.6,429.9,558.7,439.8,175.9,253.3,10.61,118.9,1.96,2.83,0.873,"1,249","1,370",111.1,0,"1,258",15.92,134.8,1.02,0.99,"1,232","1,267"
2021-06-30,Covington Capital Management,370,2021-06-01,128.9,5.4,6.4,121.743,61.3,5.9,1.468,2021(Q2),"8,460","7,755","2,365","5,391",625.7,0,79.08,"11,956","3,496",211,436.1,311.9,124.2,"2,796",52.11,0,511.1,289.5,15.84,22.54,183.2,0,"1,835","1,324","1,061",127.8,135.3,167,-167,"10,121",0,"10,121","2,161",3.3,"7,838",0,118.4,"11,956","11,956","8,187","1,077","-1,288",879.1,66.42,14.66,27.39,81.96,-782.9,-153.8,-176.4,0,0,22.66,0,-508.9,-8.26,-195.3,"-1,705","1,400",0,20.36,0,0,0,0,20.36,1.17,-420.9,"2,786","2,365",58.16,66.42,-8.26,"1,119",498.6,620.9,481.4,183.6,279.9,17.99,139.4,2.23,3.09,0.863,777.6,919.3,40.22,0,879.1,14.54,154,0.71,0.69,"1,245","1,275"
2021-09-30,Covington Capital Management,343,2021-09-01,109.8,5.4,3.5,120.787,60.8,5.1,1.4873,2021(Q3),"8,333","7,519","2,190","5,329",733.2,0,80.89,"13,537","5,204",215.2,491.4,349.4,141.9,"4,445",52.07,0,596.6,350.6,15.62,26.5,203.9,0,"2,166","1,570","1,085",310.6,174.5,189.8,-189.8,"11,370",0,"11,370","3,309",-5.89,"7,931",0,136,"13,537","13,537","9,774","1,100","-1,089","1,148",41.87,13.6,178.5,81.34,"-1,316",-63.76,-122,0,0,58.27,0,-240.7,-11.36,-290.5,"-1,467","1,528",0,29.15,0,0,0,0,29.15,-5.41,-175.1,"2,365","2,190",30.5,41.87,-11.36,"1,124",514.8,608.9,613,221,366.7,25.31,-4.1,3.64,4.52,0.872,"1,341","1,340",192,0,"1,148",13.51,9.41,0.92,0.9,"1,251","1,276"
2021-12-31,Covington Capital Management,362,2021-12-01,115.2,7.0,7.4,77.396,58.3,4.2,1.5101,2021(Q4),"8,539","7,768","2,503","5,265",687.3,0,83.96,"13,340","4,801",301.9,495,356.5,138.5,"3,956",48.37,0,702.7,284,15.75,79.69,216.8,106.5,"2,207","1,504","1,158",183.4,162.9,262.5,-262.5,"11,133",0,"11,133","2,938",-5.97,"8,040",0,161.1,"13,340","13,340","9,221","1,173","-1,330",-371.3,260.5,22.24,-115.9,98.31,508.3,118.9,-42.03,0,0,160.9,0,20.11,-25.98,-17.49,"-1,721","1,784",0,36.15,0,0,0,0,36.15,-3.34,313.4,"2,190","2,503",234.5,260.5,-25.98,"1,380",687.4,692.7,678.3,273.9,376.5,27.81,14.4,4.04,4.92,0.875,-507.2,-488.7,-117.4,0,-371.3,22.17,36.57,-0.29,-0.3,"1,257","1,257"
2022-03-31,Covington Capital Management,216,2022-03-01,107.6,8.5,-1,-0.061,57.2,3.8,2.338,2022(Q1),"8,075","7,247","2,452","4,795",715.1,0,113.1,"11,834","3,760",329.8,488.1,356.5,131.6,"2,695",47.06,199.6,681.9,406.6,19.34,8.29,247.6,0,"2,045","1,363","1,176",0.211,186.6,283.9,-283.9,"9,790",0,"9,790","1,464",0.413,"8,151",0,174.6,"11,834","11,834","7,490","1,195","-1,256","-1,474",-25,17,-184,118,"1,585",-87,-31.29,0,0,-55.71,0,-32,-16,-454,"-1,464","1,930",-28,6,0,0,0,0,6,0,-51,"2,503","2,452",-41,-25,-16,"1,204",566,638,736,304,412,20,-98,4.71,5,0.288,"-1,560","-1,653",-179,0,"-1,474",17,-81,-1.17,-1.17,"1,260","1,260"
2022-06-30,Covington Capital Management,256,2022-06-01,98.4,9.1,0.3,5.145,53.5,3.6,3.0129,2022(Q2),"7,858","6,955","3,351","3,604",789.7,0,113.2,"10,748","2,890",338.8,512.5,379.3,133.1,"1,994",44.76,0,703.2,419.4,25.67,4.12,254,0,"2,031","1,327","1,167",1.33,159.4,280.1,-280.1,"8,717",0,"8,717",259.8,-9.12,"8,245",0,221.9,"10,748","10,748","5,598","1,192","-2,159","-1,204",-75,16,4,139,"1,022",-52,-121.7,0,0,69.66,0,983,-12,-146,-569,"1,760",-50,2,0,0,0,0,2,-11,899,"2,452","3,351",-87,-75,-12,"1,295",639,656,846,347,457,42,-190,12.12,12.4,0.281,"-1,020","-1,198",6,0,"-1,204",16,-174,-0.95,-0.95,"1,262","1,262"
